talkNo,title,content,content_date,comment_date,comment_text
978041,ㅋㅍ확정 잘오나여,통장에 잔고는 넉넉한가여,2025-01-28 17:55,2025-01-28 17:56,ㅋㅋㅋ물량이없나바요
978041,ㅋㅍ확정 잘오나여,통장에 잔고는 넉넉한가여,2025-01-28 17:55,2025-01-28 17:59,확정받기 참 어렵네여
978041,ㅋㅍ확정 잘오나여,통장에 잔고는 넉넉한가여,2025-01-28 17:55,2025-01-28 18:09,ㅋㅍ 확정안오니깐 컬리 가시져
978041,ㅋㅍ확정 잘오나여,통장에 잔고는 넉넉한가여,2025-01-28 17:55,2025-01-28 18:26,계약직도 쉬라고 하는데 확정이 오기가 쉽지않을듯
978041,ㅋㅍ확정 잘오나여,통장에 잔고는 넉넉한가여,2025-01-28 17:55,2025-01-28 18:30,그럴거가타요 ㅜㅜ
978040,한국인들중,분노조절장애 정말 많은거같음,2025-01-28 17:52,2025-01-28 17:54,특히 그놈의 빨리빨리문화.
978040,한국인들중,분노조절장애 정말 많은거같음,2025-01-28 17:52,2025-01-28 18:43,새치기도 ㅈ나심함 특히 6~80대 할매 할배들. 자기밖에 모름. 아 이건 20대 애들도 마찬가지.
978040,한국인들중,분노조절장애 정말 많은거같음,2025-01-28 17:52,2025-01-28 19:03,예를들면?
978040,한국인들중,분노조절장애 정말 많은거같음,2025-01-28 17:52,2025-01-28 19:08,ㄹㅇ
978040,한국인들중,분노조절장애 정말 많은거같음,2025-01-28 17:52,2025-01-28 19:09,+조울증도 많은듯해요 감정이 왔다갔다하고 충동 조절 못하는
978036,하아 수원 일당직만 씨가마른줄 알았는데 주급제도 씨가마름,몇개 올라오는거 맨날 같은것들만색조.교대.화장품,2025-01-28 17:29,2025-01-28 17:44,ㄹㅇ심각함
978035,남자고 무경력인데 카페 알바는 힘든가요??,20대 초반이에요,2025-01-28 17:25,2025-01-28 17:36,잘 생긴거 아니면 냉정하게 남자 안쓰고 여자 선호해요
978035,남자고 무경력인데 카페 알바는 힘든가요??,20대 초반이에요,2025-01-28 17:25,2025-01-28 17:40,키 크시면 지원해보세요
978035,남자고 무경력인데 카페 알바는 힘든가요??,20대 초반이에요,2025-01-28 17:25,2025-01-28 17:56,카페.편의점은 무경력이면 여자도 선호 안함..
978035,남자고 무경력인데 카페 알바는 힘든가요??,20대 초반이에요,2025-01-28 17:25,2025-01-28 18:48,키는 작아요ㅜ
978035,남자고 무경력인데 카페 알바는 힘든가요??,20대 초반이에요,2025-01-28 17:25,2025-01-28 19:22,일하면서 잘생긴 애를 본 적이 없는데 걍 평범했는데ㅋㅋ 그냥 면접을 잘 보면 가능성 있을 수도..싹싹하게 잘 보면
978034,키 154…. 로 살고 있는 여자인데,"나이 20대 후반이고 20대 초반때까지 아무생각 없다가나이 먹으면서 생각 많아짐알바는 카페, 물류 이런건 한번도 못해봤지만 편의점, 서빙, 캐셔일 옛날에 잘했었고직장도 사무 경리일 몇년째 하고 있는데밖에서도 와 작다는 소리 누구보다 작다 이런 소리 맨날듣고 결혼도 할 나이인데 자식 낳는것도 점점 무서워지고딱히 과거부터 동안, 귀여운 외모는 아니었어서더 그런거 같음 그냥 일만 하면서 사는게 답일까20평에서 혼자 사는 중이야",2025-01-28 17:21,2025-01-28 17:30,어
978034,키 154…. 로 살고 있는 여자인데,"나이 20대 후반이고 20대 초반때까지 아무생각 없다가나이 먹으면서 생각 많아짐알바는 카페, 물류 이런건 한번도 못해봤지만 편의점, 서빙, 캐셔일 옛날에 잘했었고직장도 사무 경리일 몇년째 하고 있는데밖에서도 와 작다는 소리 누구보다 작다 이런 소리 맨날듣고 결혼도 할 나이인데 자식 낳는것도 점점 무서워지고딱히 과거부터 동안, 귀여운 외모는 아니었어서더 그런거 같음 그냥 일만 하면서 사는게 답일까20평에서 혼자 사는 중이야",2025-01-28 17:21,2025-01-28 17:52,남자 빨리 잡아라
978034,키 154…. 로 살고 있는 여자인데,"나이 20대 후반이고 20대 초반때까지 아무생각 없다가나이 먹으면서 생각 많아짐알바는 카페, 물류 이런건 한번도 못해봤지만 편의점, 서빙, 캐셔일 옛날에 잘했었고직장도 사무 경리일 몇년째 하고 있는데밖에서도 와 작다는 소리 누구보다 작다 이런 소리 맨날듣고 결혼도 할 나이인데 자식 낳는것도 점점 무서워지고딱히 과거부터 동안, 귀여운 외모는 아니었어서더 그런거 같음 그냥 일만 하면서 사는게 답일까20평에서 혼자 사는 중이야",2025-01-28 17:21,2025-01-28 17:57,더 나이 먹으면 불리할 키에요. 언능 돈 벌어 결혼하세요
978034,키 154…. 로 살고 있는 여자인데,"나이 20대 후반이고 20대 초반때까지 아무생각 없다가나이 먹으면서 생각 많아짐알바는 카페, 물류 이런건 한번도 못해봤지만 편의점, 서빙, 캐셔일 옛날에 잘했었고직장도 사무 경리일 몇년째 하고 있는데밖에서도 와 작다는 소리 누구보다 작다 이런 소리 맨날듣고 결혼도 할 나이인데 자식 낳는것도 점점 무서워지고딱히 과거부터 동안, 귀여운 외모는 아니었어서더 그런거 같음 그냥 일만 하면서 사는게 답일까20평에서 혼자 사는 중이야",2025-01-28 17:21,2025-01-28 18:10,"키 작아도 내 존재 자체를 좋아하는 사람 분명 있을 겁니다
키 많이 작아도 결혼하고 잘 사는 사람도 많던군요 
140대분들도 결혼하고 잘 살아요"
978034,키 154…. 로 살고 있는 여자인데,"나이 20대 후반이고 20대 초반때까지 아무생각 없다가나이 먹으면서 생각 많아짐알바는 카페, 물류 이런건 한번도 못해봤지만 편의점, 서빙, 캐셔일 옛날에 잘했었고직장도 사무 경리일 몇년째 하고 있는데밖에서도 와 작다는 소리 누구보다 작다 이런 소리 맨날듣고 결혼도 할 나이인데 자식 낳는것도 점점 무서워지고딱히 과거부터 동안, 귀여운 외모는 아니었어서더 그런거 같음 그냥 일만 하면서 사는게 답일까20평에서 혼자 사는 중이야",2025-01-28 17:21,2025-01-28 18:17,외모가꾸고 화장법 계속연습하면서 남자꼬셔서 연애하면서사셈
978034,키 154…. 로 살고 있는 여자인데,"나이 20대 후반이고 20대 초반때까지 아무생각 없다가나이 먹으면서 생각 많아짐알바는 카페, 물류 이런건 한번도 못해봤지만 편의점, 서빙, 캐셔일 옛날에 잘했었고직장도 사무 경리일 몇년째 하고 있는데밖에서도 와 작다는 소리 누구보다 작다 이런 소리 맨날듣고 결혼도 할 나이인데 자식 낳는것도 점점 무서워지고딱히 과거부터 동안, 귀여운 외모는 아니었어서더 그런거 같음 그냥 일만 하면서 사는게 답일까20평에서 혼자 사는 중이야",2025-01-28 17:21,2025-01-28 18:31,결혼은 못하는게 아니라 안하는거에요. 결혼만 목적이라면 50대 키작고 대머리에 직업없고 애둘 딸린 이혼남들도 많은데 그런 남자랑 하겠어여. 안하지.
978034,키 154…. 로 살고 있는 여자인데,"나이 20대 후반이고 20대 초반때까지 아무생각 없다가나이 먹으면서 생각 많아짐알바는 카페, 물류 이런건 한번도 못해봤지만 편의점, 서빙, 캐셔일 옛날에 잘했었고직장도 사무 경리일 몇년째 하고 있는데밖에서도 와 작다는 소리 누구보다 작다 이런 소리 맨날듣고 결혼도 할 나이인데 자식 낳는것도 점점 무서워지고딱히 과거부터 동안, 귀여운 외모는 아니었어서더 그런거 같음 그냥 일만 하면서 사는게 답일까20평에서 혼자 사는 중이야",2025-01-28 17:21,2025-01-28 19:26,여자154많지않나 나 155인데 키때문에스트레스받은적없는대 얼굴이문제아닌가여
978033,키 157인 여자인데 많이 작음..?,바리스타 2급 자격증 있음첫알바로 카페 함 해보고 싶은데 키가 작으면 하기 힘들까,2025-01-28 16:46,2025-01-28 16:52,남들은 손 뻗으면 닿는걸 의자 깔고 올라가야되고 한번에 할 일을 두번세번 해야되는데 이럴 일이 좀 많아서 안 좋아하긴 함
978033,키 157인 여자인데 많이 작음..?,바리스타 2급 자격증 있음첫알바로 카페 함 해보고 싶은데 키가 작으면 하기 힘들까,2025-01-28 16:46,2025-01-28 17:37,내가 158인데 나보다 더 작은 카페 알바생도 봄 그 친구는 148임   카페에서 근무하면서 느낀점은 지장이 되지않으면. 걍 다 가능
978033,키 157인 여자인데 많이 작음..?,바리스타 2급 자격증 있음첫알바로 카페 함 해보고 싶은데 키가 작으면 하기 힘들까,2025-01-28 16:46,2025-01-28 18:07,노노 그냥 조금 아담하다 정도지 많이 작다는 아니야 많이 작다는 140대에서 152 153이정도
978033,키 157인 여자인데 많이 작음..?,바리스타 2급 자격증 있음첫알바로 카페 함 해보고 싶은데 키가 작으면 하기 힘들까,2025-01-28 16:46,2025-01-28 18:09,"키가 작아도 가능해요! 저도 일해봤는데요뭐 ㅎㅎ
열심히만 잘 하면 되더라구요 ㅎㅎ"
978032,면접봤는대 예비순위 2번째래,공고 오픈매장이라서 3명뽑는다해서급여도 좋고 정말 면접잘봐야지하구 갔는대나를 되게 좋게보셨고 어제부터 근무가능하냐해서바로 출근가능하다했는대 토요일까지 연락준대서 기다렸는대 예비순비 2번째라고 빠른시일내로 연락준댔는대 꼭 합격되고싶어결과 언제줄까??,2025-01-28 16:25,2025-01-28 16:31,"~까지 연락주겠다는 곳은 떨어진 곳이라고 생각하면 됨.
예비순위 2번째라면, 뽑혔던 사람2명이 그만둬야 가능한건데 다른곳도 찾아보는게 좋은듯"
978031,원래 이게 맞나요?,출근하루전에 민증사진과 계좌번호 달라고 하는데 민증번호도 전부 다 알려달라고 하시네요.노출 안시키면 뽑을수 없다는데 요즘 물류현장알바가 다 이런가요??불안해서 올려봐요.,2025-01-28 16:16,2025-01-28 16:27,"다 그런건 아니에요, 하루 전에 알려달라는건 좀 그렇죠"
978031,원래 이게 맞나요?,출근하루전에 민증사진과 계좌번호 달라고 하는데 민증번호도 전부 다 알려달라고 하시네요.노출 안시키면 뽑을수 없다는데 요즘 물류현장알바가 다 이런가요??불안해서 올려봐요.,2025-01-28 16:16,2025-01-28 17:39,그런건 아닙니다. 원래 뽑힌다음날이나 그주에 달라고 하니 거르시는게 좋을듯해요 !
978030,당일퇴사 해본 사람,"알바가 오후 5시 시작인데 3시반쯤 퇴사한다고 연락드렸음 근데 점장님이 연락을 못보시고 가게에 내가 안나오니 매니저가 나한테 연락함 그래서 점장님이 문자를 확인하셨고 일단 연휴 끝나고 다시 연락주겠다는데 더이상 나한테 할 말이 있나 ??일단 일한지 3일차였고 수습기간이 3개월이라 급여 90%만 받고 있음 (9027원) 그리고 근로계약서에 퇴사 2주 전에 말하라고 했고 무단퇴사 시 급여 50% 삭감이었음그래서 연락드렸을 때 50%만 받는다고 말도 했고가게 측에서 손해배상 청구할 수 있나 ? 애초에 난 거기서 청소랑 포스밖에 안배운 사람인디 ,,; 직원도 나 포함 4명이고 손해볼 수가 없음",2025-01-28 16:11,2025-01-28 16:52,"손해배상 청구까지 할일 없음.너가 손님있는데,매장에서 소란피우면서 알바 못해먹겠다고 하지 않는 이상.
너가 진짜 별로 였더라도 하루 알바비 받으러 매장으로 오라고 하지 손해배상청구까지 갈일 없음."
978030,당일퇴사 해본 사람,"알바가 오후 5시 시작인데 3시반쯤 퇴사한다고 연락드렸음 근데 점장님이 연락을 못보시고 가게에 내가 안나오니 매니저가 나한테 연락함 그래서 점장님이 문자를 확인하셨고 일단 연휴 끝나고 다시 연락주겠다는데 더이상 나한테 할 말이 있나 ??일단 일한지 3일차였고 수습기간이 3개월이라 급여 90%만 받고 있음 (9027원) 그리고 근로계약서에 퇴사 2주 전에 말하라고 했고 무단퇴사 시 급여 50% 삭감이었음그래서 연락드렸을 때 50%만 받는다고 말도 했고가게 측에서 손해배상 청구할 수 있나 ? 애초에 난 거기서 청소랑 포스밖에 안배운 사람인디 ,,; 직원도 나 포함 4명이고 손해볼 수가 없음",2025-01-28 16:11,2025-01-28 17:05,"구칭 ㅇㅅㅇ 나도 그렇게 들었는데 혹시나 해서 ,, 점장님이 연휴 끝나고 연락준다는 게 뭔가 찜찜해서 ㅠ 답변 고마옹"
978030,당일퇴사 해본 사람,"알바가 오후 5시 시작인데 3시반쯤 퇴사한다고 연락드렸음 근데 점장님이 연락을 못보시고 가게에 내가 안나오니 매니저가 나한테 연락함 그래서 점장님이 문자를 확인하셨고 일단 연휴 끝나고 다시 연락주겠다는데 더이상 나한테 할 말이 있나 ??일단 일한지 3일차였고 수습기간이 3개월이라 급여 90%만 받고 있음 (9027원) 그리고 근로계약서에 퇴사 2주 전에 말하라고 했고 무단퇴사 시 급여 50% 삭감이었음그래서 연락드렸을 때 50%만 받는다고 말도 했고가게 측에서 손해배상 청구할 수 있나 ? 애초에 난 거기서 청소랑 포스밖에 안배운 사람인디 ,,; 직원도 나 포함 4명이고 손해볼 수가 없음",2025-01-28 16:11,2025-01-28 18:36,법적으로 가면 시간 돈 많이 들어 왠만한 손배까지 안가는데 너무 예의없이 무책임하게 퇴사하면서 돈받겠다는 소리가 나올가. 그렇게 살지마요. 버릇되요
978029,21살 고졸 취준생 알바 경험 무,알바 21살때 시작하는거 어떻게 생각함용돈 아직 받음,2025-01-28 16:11,2025-01-28 16:14,"20대 초반은 군대나 알바로 첫 사회생활을 배우는거임
뭐든 책임감 있게 해보는거 추천함"
978029,21살 고졸 취준생 알바 경험 무,알바 21살때 시작하는거 어떻게 생각함용돈 아직 받음,2025-01-28 16:11,2025-01-28 16:32,"저도 21살때 알바 시작했어요!
알바해보면서 돈 벌고 사회생활도 경험해보고
여러모로 좋다고 생각해요
취업하기 전에 한번 해보길 권장해요"
978029,21살 고졸 취준생 알바 경험 무,알바 21살때 시작하는거 어떻게 생각함용돈 아직 받음,2025-01-28 16:11,2025-01-28 17:29,일단 군대부터 갔다오시고 일해보세요
978025,저는 대학 1학년까지 용돈 받고 지원 받았었어요,대학 2학년 3학년때 특히 방학때 아르바이트를 많이 하고취업준비하다가 24살 가을쯤 처음 취업해서 용돈 드리고25살때 독립하고 결혼해서 26살인 지금은 올해 5월에첫 딸 출생 예정이에요고등학생 대학생때 용돈 많이 받고 열심히 공부 하심 됩니다 ㅎㅎ 졸업해서 밥벌이 열심히 하면 됩니다,2025-01-28 15:50,2025-01-28 18:52,성실히 살았네요. 나중에 후회한 삶은 아닐듯
978025,저는 대학 1학년까지 용돈 받고 지원 받았었어요,대학 2학년 3학년때 특히 방학때 아르바이트를 많이 하고취업준비하다가 24살 가을쯤 처음 취업해서 용돈 드리고25살때 독립하고 결혼해서 26살인 지금은 올해 5월에첫 딸 출생 예정이에요고등학생 대학생때 용돈 많이 받고 열심히 공부 하심 됩니다 ㅎㅎ 졸업해서 밥벌이 열심히 하면 됩니다,2025-01-28 15:50,2025-01-28 19:10,우와 앞으로의 새 가정 생활 응원하겠습니다! 딸이 아주 귀엽겠네용
978023,알바는 20대때 하는게 맞아요,저 2013년도에 20살이였는데 그때 알바했으면좋았을텐데  아르바이트 못한게 너무 후회되네요ㅋ,2025-01-28 15:31,2025-01-28 15:51,전 21~23살때 아르바이트 정말 많이 했었죠 ㅎㅎ
978023,알바는 20대때 하는게 맞아요,저 2013년도에 20살이였는데 그때 알바했으면좋았을텐데  아르바이트 못한게 너무 후회되네요ㅋ,2025-01-28 15:31,2025-01-28 16:23,저도 20살때 시작하지 못했던게 너무도 후회돼요..
978023,알바는 20대때 하는게 맞아요,저 2013년도에 20살이였는데 그때 알바했으면좋았을텐데  아르바이트 못한게 너무 후회되네요ㅋ,2025-01-28 15:31,2025-01-28 17:17,알바 안해도 되면 안할수록 더 좋죠 ㅎ 그냥 지금 사는 인생 열심히 살면 되요 ㅎㅎ 파이팅합시더
978023,알바는 20대때 하는게 맞아요,저 2013년도에 20살이였는데 그때 알바했으면좋았을텐데  아르바이트 못한게 너무 후회되네요ㅋ,2025-01-28 15:31,2025-01-28 18:07,하지만 알바가 잘 구해지지 않는 게 현실..
978022,알바면접ㅠ,면접할 때 피자집은 어느지점에서 일했는지 안물어보셧는데 설빙은 물어보셧는데 뭔가 신경쓰이네요 면접에서 어느지점인지 묻는 이유가ㅜ있나요,2025-01-28 15:30,2025-01-28 15:33,구라칠까봐?
978022,알바면접ㅠ,면접할 때 피자집은 어느지점에서 일했는지 안물어보셧는데 설빙은 물어보셧는데 뭔가 신경쓰이네요 면접에서 어느지점인지 묻는 이유가ㅜ있나요,2025-01-28 15:30,2025-01-28 15:36,확인하려고.....거짓말로 이력서 작성하는경우도 더러 있으니 근무태도나 이런거 확인하려 하신거 아닐까요
978022,알바면접ㅠ,면접할 때 피자집은 어느지점에서 일했는지 안물어보셧는데 설빙은 물어보셧는데 뭔가 신경쓰이네요 면접에서 어느지점인지 묻는 이유가ㅜ있나요,2025-01-28 15:30,2025-01-28 15:42,"처음부터 알려주기 귀찮아서 경험있는 사람 고용하려고 하는데,근무 경험이 구라일까봐?"
978021,난 어릴때부터 용돈을 안받았음,어릴때부터 부모님들이 용돈을 안줘서 받아본적이 없음 그래서 고등학교때부터 알바 하면서 돈 조금씩 모으다가 성인되고는 대학안가고 돈만 벌었던거같음 안간이유는 가고싶다고 느끼질 못함 하고싶은것도 없었고 부모님들이 용돈 주는거 감사하게 생각해라,2025-01-28 15:25,2025-01-28 15:39,맞음ㅋㅋㅋ 그리고 성인되면 일 좀 해
978021,난 어릴때부터 용돈을 안받았음,어릴때부터 부모님들이 용돈을 안줘서 받아본적이 없음 그래서 고등학교때부터 알바 하면서 돈 조금씩 모으다가 성인되고는 대학안가고 돈만 벌었던거같음 안간이유는 가고싶다고 느끼질 못함 하고싶은것도 없었고 부모님들이 용돈 주는거 감사하게 생각해라,2025-01-28 15:25,2025-01-28 15:53,"스스로  분발하며  살라고  취급이  없으셨던데
교육  야속하게  시키셨군요.
가능하면   님네  부모님한테  생활비  주지  마세요."
