Title,Contents,Date
취업해서 일줄하고 관둬도 돼나?,하지말까?시험이 얼마 안남아소 폰비랑 책값만 벌고싶어,2025-02-01
주휴수당1,어떠한 물류센터에서 일하고 있는데 평일에 연차를 쓰면 주휴수당이 안나옵니다 토요일만 써야 주휴수당이 나옵니다. 이게 맞는걸까요?,2025-02-01
공장일 잔업은 물량이 많냐 없냐에 따라서 회사에서 결정하는건가요 ?,/,2025-02-01
올리브영 3잡 가능할까요?,올리브영에서 너무 일하고 싶습니다오늘 면접 봤는데 점장님이 사람을 너무 존중해 주시는 게 느껴지고 메이트 분들도 친절하셨어요합격 통보는 아직 못 받았는데 여기서 일하면 정말 좋겠다는 생각이 처음 들어서 너무 바라고 있습니다근데 올리브영이 투잡이 안된다고 하더라고요?? 전 2집도 아니도 3잡인데..뒤늦게 알아서 여쭤보지도 못했어요지금 하고 있는 알바 다 4대보험 떼는데 그냥 포기해야 할까요?아니면 다시 여쭤볼까요? 너무 설레발일까요 하…ㅜㅠㅠㅠㅠㅠ,2025-02-01
최저임금 관련해서 여쭤보고싶은게 있어요 알려주시면 감사하겠습니다!,편의점에서 11월 29일부터 일해서 28~30일 이틀은 편의점 교육급여라고 50%만 받았습니다. 11시간 일했구요. 12월 1일부터는 미성년자여서 사장님이 시급을 휴게시간 10분 제외해서 8215원을 받기로 일하기 전에 합의해서 그렇게 받았고요. 1월부터는 만 18세가 되었으니 올해 기준 최저시급인 10030원을 받는 줄 알았는데 전화해보니 또 10분을 제외해서 준다고 하더라고요. 모든 알바생이 그렇게 받는다고..근데 근로계약서는 최저시급 기준으로 썼거든요 이 경우에 고용노동부에 신고하면 못 받은 급여를 받을 수 있을까요?,2025-02-01
서운산업단지,케이피나인이라는 회사 일해보신분 후기부탁해요,2025-02-01
마켓컬리 평택 상온 21시 셔틀 없나요?,"3시간 일하는 파트 있잖아요, 셔틀 공고 아무리봐도 안보여서.. 자차타고 출근 가능한 사람들만 가능한건가요?",2025-02-01
평태 컬리P팀 냉장,내일 평택컬리P팀 냉장 19시30분 첫출근하는데 일하는거 많이 빡센가요? 지인이 많이 힘들다고 하는데 그렇게 힘든가요? 냉장쪽은 처음이여서요,2025-02-01
컬리 문자 주는시간이,통근버스 타기 1시간전에 근무가능하신분 문자오는데 이렇게 문자주면 통근버스를 타라는건지 모르겠네 r팀,2025-02-01
단기알바 ㅅㅇㅂ 조심,전화면접/카페대면면접/엠비티아이/정신질환유무/타투유무/실질적회사없음/합정역/여의도위에 해당되는 것 있으면 꼭 의심해보세요*면접비 대신 컨설팅* 해준다고하면 ..,2025-02-01
사장이 이상한거임?,오늘 메가커피 알바 면접 보고 왔는데얼마 걸리냐길래 버스로 25분 걸린다고 했거든거리가 먼데 근무 할 수 있겠냐고 그러셨어..알바 면접 수도 없이 봤었는데 이런 경우는 처음인데진짜 진심으로 멀다고 생각하시는걸까?? 객관적으로 이게 먼 거리야?? 아님 걍 나를 테스트 하려고...? 내가 싫은건가?,2025-02-01
진짜 20살때부터 돈 조금씩 모았어야함,20대 중반부터 취업하면 일년에 최소 2천은 모아야하고30살에 1억이 생각보다 쉽지가 않네요20대 초반때 알바로 놀면서 조금씩 모으는걸 경제 관념을 들여야 20대 중후반 30대에 더 걱정 없음,2025-02-01
공고에 나와있는 시간 그대로 해야하나요?,너무 많거나 적은 것들이 있는데 궁금해요,2025-02-01
신세계 강남점에서 일하는분 있나요?,신세계 강남점에 있는 매장에 합격 됐는데 혹시 직원통로가 어디쯤에 있나요?,2025-02-01
알바 그만 둔다고 말 하려 하는데,6개월 일하기로 하고 계약했어요. 2월까지 일하면 6개월이라 사장님께 2월까지만 일하면 약속한 6개월이서서 그만두어야 할거 같다고 말해도 괜찮을까요? 바로 내일이 2월이니 그만둔다고 하기도 좀 그런가요? ㅠㅠ,2025-02-01
원창컬리 입금,원창컬리 어제 근무했는데 입금이 언제쯤 될까요??,2025-02-01
콜인력 지원하지마세요,요세 현장일 없는건 저도 알겠는데요 다른데서도  일있으면 연락준다고 회원 대기만 시키고 지금 연락 기다리고 있는중입니다알바몬에 콜인력있길래 지원을 했는데 아직도 연락이 안오네요 그냥 아에 읽고 씹었음  아마도 일 없다고 씹는거 같은데 최소한 말은 해줘야지 이게  무슨경우임?이제 저기 돈 많이 준다해도 안감,2025-02-01
평택컬리 어제,근무하신분들 입금됐나요?냉동 파트타임했는데 아직도 안들어왔네요명세서는 떴는데,2025-02-01
요즘 알바생들 불친절한 이유는뭐죠?,전 최저받고일해도불친절하게 안하는데왜이리다들 화가나잇는거죠?,2025-02-01
용인파스토2센터,용인 파스토 2센터의류쪽 다음주 면접가는데 여자가 일하기 괜찮나요 ? 피킹 경험은 있습니다 ㅠㅠ 텃세라던지 ..,2025-02-01
보통 합격통보 문자는 언제 오나요?,몇일 정도 걸리냐요,2025-02-01
월급날 왜 이렇게 안오지,4일이나 더 기다려야돼~!~!,2025-02-01
쿠팡 일용직 급여 들어오셨나요? (이천2) 악플 자제;,25일 오후에 일한 급여가 아직 않들어 왔는데 다른분들은 들어왔나 싶어서요오후 6시이전에는 거진 들어오는데 생각보다 늦어서;연휴껴서 지급이 늦는건가 싶기도하고..다른분들은 들어오셨나요?,2025-02-01
신한카드 미납콜센터 근무 어떤가요?,신한카드 미납콜센테에 근무 관련해서올라오는게 없어서요많이 힘든가요?,2025-02-01
아니 쿠팡 심야조 확정문자 이시간까지안오면,걍마감인거임? 마감문자도 안왓는데 이러다늦게확정문자오면 버스탈시간 ㅈㄴ애매해지는데,2025-02-01
나이스 평가정보 알바 해본사람!,있나여?,2025-02-01
모던 바 알바 해 보신 분,오늘 8시에 면접 가기로 했는데 네이버 리뷰 없고요 무슨 일 하냐 물어보니까 손님들 이야기 들어 주는 일이래요 픽업도 해 준다는데 픽업은 보통 룸방 아가씨들이나 해 주는 거 아닌가요?… 스킨십이나 룸 들어가거나 옆에 앉는 게 있냐 물어보니 그런 거 전혀 없이 바 안에 서서 일하는 거라는데 해 보신 분 있으면 어떤지 알려 주세요,2025-02-01
서울역점 무인양품,"서울역점 무인양품 원래 전화 잘 안 받나요?공고 떠서 지원 넣고, 열람하고 전화가 왔는데 못 받아서 편한 시간대에 전화 해달라길래 부재중 찍힌 뒤 3분 뒤에 다시 전화했음 근데 단 한 번도 안 받음 잠깐 통화중이라길래 좀 기다렸다 바로 걸었는데도 받질 않음 뭐 어떡하라는 거죠?",2025-02-01
근무 장소랑 거주지랑 멀면 잘 안뽑나요,대중교통 40분정도 걸리긴 하지만 같은지역 다른알바 다니면서 지각 결근 한적 한 번도 없어도 안좋아할까요…,2025-02-01
엠피알 컴퍼니 남동시범공단 인근화장품,남동시범공단인근 화장품 공장 여기 어떤가요?가보신분 있나요? 회사이름좀요 ~,2025-02-01
같은 계열사 재입사 해보신분있으실까요?,SPC 계열사 던킨에서 파리크라상이라던지 등 .. 퇴사한지 얼마 안된상태에서요!,2025-02-01
kbs수신료콜센터,kbs수신료콜센터라고 공고 많이 올라오던데..혹시 근무해보신분 계실까요?영업없이 인바운드상담만 있다던데...,2025-02-01
이거 기업 본사에 신고? 해야 할까요,"올리브영 매장 알바1) 고객분들 다 있는 앞에서 가정교육 운운 (엄마가 오냐오냐 키워서 그러냐)2) 우리 매장 그만두고 나면 이 동네 올리브영에서 일 할 생각하지 마라 내가 이 동네 점장들한테 연락오면 님에 대해서 안 좋게 말할거다 정 하고 싶으면 먼 지역 가서 해라앞으로 올리브영에서 일 못하게 하겠다는 협박성 발언 (본인 주장으로는 이게 갑질이 아니라고 함)3) 알바생들에개 매달 20% 쿠폰이 발행 됨 이 쿠폰을 사용해서 매장에서 물건 구매하고 내가 내 돈 100원 내고 봉투 추가하겠다고 했으나 치사한 것 같아도 봉투는 들고 다니라고 함.. 4) 지역 올영 총 관리자분께서 매장에 와서 나의 행동과 말투를 지적하고 가셨다며, 내가 지적당한걸 생각하면 너무 화가 나서 참을 수 없다고 하심 근데 그 관리자분이 오신 날은 내 근무날이 아니었음 5) 나의 근무 시간이 아닌 다른 타임에 대타를 가게 되었음 다른 알바생 분들이 이거하면된다 알려주시는 거 했고 내가 그 타임이 처음이라는 걸 알아서 모르는 게 있으면 물어보라고 하셨음 일하던 도중에 점장님이 출근하셨고 매장에 고객님들이 그렇게 많은데 ”저 사람 할 줄 아는게 하나도 없다니까요~ 그낭 계산이나 시키는게 편해~“ 그러고는 저한테 ”님 꿀 빨면서 일하는거 이제 아셨어요? 다른 알바생들은 다 힘들게 일하면서 돈 버는데 님만 꿀 빨고 있었어요“ ㅋㅋ.. 참고로 전 마감 업무 90% 혼자 합니다 6) 이거 외에도 이름표 코팅지 오리는데 님 이름 개떡같이 오리면 기분 좋겠어요? 이렇게 말 함 (전 개떡같이 오리지 않았어요 ^^)실적 압박 심함. 님 때문에 매출 떨어지면 책임 지실거에요? 이럼 인센티브 내가 받는 것도 아니고 매장 입구에서 고객님이 내가 있는 걸 보고 안들어오실까요? ㅋㅋㅋ제대로 멘트하고 도와드리고 있는데도 한숨쉬고 어깨 미는건 기본, 고객님과 이야기 나누며 제품 꺼내드리려 하는데 제 행동이 느리다며 점장급이 이런걸 해야 하냐고 고객님 앞에서 핀잔 고객님 당황 행사 대상자에 포함되는지 분명히 여쭤보고 고객님이 아니라고 하셨는데 자기는 못 들었다며 박박 우기기, 집요하게 안 물어봤다며 일을 왜 그렇게 하냐 트집잡기일단 생각나는건 이정도인데 본사에 겪은 일 관련 컴플레인 넣어도 되는 부분일까요 다른건 몰라도 앞으로 올영에서 일 할 생각은 하지 말라는게 제일 어이없고 화나네요 말해놓고 아차 싶었는지 갑질 아니라고 하는게.. ㅋㅋㅋ",2025-02-01
상여 높아서 지원했는데,이력서 합격했다고 이렇게 보내놓고품질부서만 남아있으세요.전화로 이러네.이러면 필름회사가서 앉아서 일하지.뭣하러 뺑뺑이 돌리는 품질부서 가냐.깐깐하게 봐놓고 이러면 화딱지 남.부서별로 재확인검사 전산입력 엑셀 이런거할바엔 서비스업가지.아. 근데 진짜 일자리가 없네요.,2025-02-01
회사들 이력서 겁나게 안보네,회서에서 알바생 구하기 위해서 공고를 올렸으면열람을 해야 할 거 아니야??? 공고만 올리고선왜 열람을 안하냐?? 그렇다고 지원자가 회사에연락 할 필요는 없는거지 사람이 필요한 곳은 회사 및기업인 이상 회사나 기업이 알아서 채용 처리를 해야지공고만 올리고 보지도 않네 이거,2025-02-01
ㅋㅍ 리빈을 못하는데 그만둘까,계약직 일한지 일주일 됫는데리빈 하루 해봣는데 시작한지 세시간 됫는데 안맞는게 6개나 되고 내가 못하면 그만두는게 맞는거지폐만 끼치는거 같다ㅠㅠ,2025-02-01
채용진행알림,알바를 여러개 지원햇는데 다 열람햇는데 막상 이력서 열람 했다고 채용진행알림이 하나만 왔는데 이건 어떤거죠? 다 열람햇능데 안오는것도 잇나요?,2025-02-01
군포물류는 당일취소 남발하는 곳임.,"CJ택배(주간분류, 야간상하차) 말고는죄다 당일취소 남발하는 곳임",2025-02-01
써밋앰버서더,브랜드판촉대행이라던데 여기 일해보신분 있나요 어떤지 궁금해요,2025-02-01
편의점 알바 수습기간 있나요,알바를 처음 구해본 20살입니다 첫 알바로 편의점을 다니게 되었는데 점장님께서 따로 말씀 없으셨으면 수습기간은 없다고 봐도 될까요?재학하면서 알바를 한번도 못해봐서 완전 무경력이라 당연히 수습기간 급여를 받을 줄 알고 있었는데 찾아봤더니 1년 이상 근로계약이 되어있어야 고용측에서 수습기간 급여를 줄수있다고 하더라고요종료일은 따로 정하지 않고 근로 계약서를 작성했습니다 그럼 그냥 수습기간 없이 일반 시급으로 계산하면 되는 걸까요? 잘 몰라서 여쭙습니다ㅠ,2025-02-01
세일즈웍스코리아 일해보신 분 있으신가요?,제대로 된 설명도 없었는데 채용담당자분께서도 통화할 때 팝업스토어 행사 스텝이라길래 면접 보고 들어갔는데 생각했던 일이랑 다르더라구요. 첫 직장?이라 버텨봐야지 하는 생각으로 2주정도 했는데 후원취소했다고 돈 달래요. 일해보신 분들은 돈 드렸나요??? 안 드리면 어케 되는지.. 후기가 없어서 모르겠어요,2025-02-01
대전 유성 홈플러스 ㅍㅅㅁ 매니저폭언함 조심하길,한달 일했는데 이전에 카페 경험 많이 없다는거 알고 뽑았으면서 하나하나 지적하고 욕설까지는 아니지만 느려터졌다고 질책하고 모욕해서 한달만에 나왔네요일하는거 맘에 안들면 빨리 잘라도 되는데 폭언은 좀 아니죠 ㅋㅋ 저보고 앞으로 어딜가도 금방 잘릴거라고 비아냥거리면서 한숨쉬고 하대하던데 내가 이런 취급 받아야하나 싶었습니다진짜 여러군데 일해봤지만 이런 사람은 처음 봤네요,2025-02-01
편의점대타,이틀정도 빠져야하는데 점장님께 빠지게되어서 대타 구해달라해야하나요? 당근마켓 같은 곳에서 구하면 그 업장에서 일하는 사람이 아닌데 대타써도 되나요?,2025-02-01
군포 네이버물류도 당일취소 많은가요...,쿠팡 자꾸 팅겨서군포라도 가야될 거 같은데...,2025-02-01
아웃소싱 소득신고 언제쯤하나요?,일당으로받앗지만 그래도 여럿아웃소싱에서 다녓는데하루일한것도 소득신고 해주나요?,2025-02-01
알바 지원한 곳 또 지원해도 되나요?,제곧내입니다.. 눈치가 보여서요,2025-02-01
이디야커피 ㅅㄱ대점,"CCTV로 감시하고 카톡함...일주일에 하루, 3,4시간 고용하면서 모든 레시피가 머리에 들어있기를 바람. 같이 일하는 날이라도 있으면 온갖 레시피 물어보면서 검사함. 레시피 보고 일하는 꼴을 못 봄. 가게가 잘 되었으면 좋겠는데 일하다가도 cctv감시 카톡 받으면 기분 싹 잡침...일하시기 전에 서치에 걸린다면 참고하세요...",2025-02-01
스케줄근무면,"스케줄 근무다 보니 매주 근무일이 달라서 기존 일정과 겹칠 때마다 약속을 미루곤 했는데, 반복되다 보니 고민이 됩니다. 혹시 중요한 일정이 있을 경우, 미리 점장님께 특정 날짜에 근무가 어렵다고 말씀드려도 괜찮을까요? 이렇게 요청하는 것이 민폐가 되지는 않을지 걱정됩니다. 원래 스케줄근무제는 알바생이 시간을 맞춰야하는건가요?",2025-02-01
일산 카페 알바 폭언,"긴 글이지만 읽어주세요.안녕하세요. 카페 경력 1년 반인 대학생입니다. 최근 프랜차이즈 카페 알바를 구해서 오늘이 출근한 지 3일차가 되는데요. 이틀 근무했지만 경력직인지라 커피류는 무난하게 제조했고 음료 및 디저트류는 이제 암기하는 중에 있습니다. 고깃집, 빵집, 카페, 술집, 단기 알바 등 3년이 넘는 알바 생활 중 그 어떤 곳에서도 손이 느리다거나 예의가 없다거나 하는 식의 쓴소리는 들어본 적 없습니다. 알려주시면 잔실수 없이 곧잘 하는 편이에요.그러던 중 화요일 오전 5시경 조부상을 당해 급히 병원으로 가 장례 절차를 밟는 중에 목요일 근무가 어려울 것 같아 사장님께 연락을 남겨두었습니다. 3일장이라 금요일에는 출근할 수 있을 것 같다고 미리 알려도 드렸구요. 장지가 강원도 지방에 있어 3일밤을 꼬박 새고 급히 올라와 세수만 하고 오늘 아침 늦지 않게 출근했습니다. 그런데 사장님께서 저를 보자마자 하시는 말씀이 “아니 어떻게 명절에 돌아가시니?” 더군요. 전혀 걱정하는 투 아니셨고 전날 안 좋은 일 있으셨나 싶으실 정도로 퉁명스럽게 왜 하필 그때 돌아가시냐는 식으로요. 사람이 죽을 날 받아놓고 죽나요. 너무 속상했지만 연휴 때 출근하지 못한 것이 죄송스러워 대충 얼버무리고 일을 하는데, 대뜸 오시더니 “너 레시피는 다 외웠니?” 라고 물으시기에 “경황이 없어 몇 개 빼고는 외우지 못 했습니다.” 라고 대답했습니다. 손님이 계신 상황이었음에도 ”나 그런 변명 제일 싫어해! 그게 무슨 소리야? 니가 일할 마음이 있어 지금? 너 일 안 하고 싶은 것 같아.“ 라고 쏘아붙이시는 겁니다. 손님께서도 눈치 보시면서 음료 가져가시고... 순간 울컥했지만 ”월요일에도 병원에 있느라 시간이 없었어요.“ 라고 대답했으나 ”니가 병원에 갔다고?“ 라고 하셨어요. 순수하게 되묻는 게 아닌, 병원에 가서 레시피를 외우지 못한 게 말이 되냐는 식이셨습니다. 당연히 다녀왔다는 대답을 하면서도 이게 무슨 대화인가 싶더라구요. 월요일에 병원에서 위독하시니 오시라고 가족 호출을 주셨거든요. 우느라 레시피는 고사하고 밥도 못 먹었어요. 부모님께서 맞벌이를 하셔서 초등학교 때까지 조부모님 손에서 자랐거든요. 할아버지는 표현이 서투신 분이셨지만 손녀한테는 참 다정하고 애틋한 분이셨어요. 그래서 제겐 무척이나 가깝고 소중한 가족이셨습니다. 막말로, 얼굴도 못 뵌 먼 친척 분이 돌아가셔서 장례식에 다녀왔대도 이게 사람 대 사람으로 할 말입니까? 아직 마음도 제대로 추스리지 못 했는데 이런 말을 듣고 있자니 할아버지가 제가 이렇게 일하는 거 보시면 얼마나 속상하실까 생각도 들고 너무 서러웠지만 꾹 참고 하던 일을 마무리 지었습니다. 기다리는 손님도 계셨고 남아있는 사람은 남은 일들을 해내야 하니까요. 같이 알바하는 친구도 ”오셔서도 계속 레시피 보셨잖아요. 왜 말씀 안 하셨어요...“ 했지만 ”보긴 봤지만 경황이 없어 외우진 못 했으니까요. 괜찮아요.“ 하고 넘겼습니다.사장님께선 아직 분이 덜 풀리셨는지 10분 뒤쯤 저를 따로 부르시더라구요. 매장 테이블에 자리를 잡고 앉아 보라고 하시더니 우린 원래 레시피 안 외우면 안 뽑는다는 둥 이건 말도 안 되는 변명이라는 둥 정확히 모든 말이 기억나진 않지만 저것과 비슷한 어투로 또 혼내시기에 그만둬야겠다는 결심이 섰던 것 같습니다. 장례를 치룬 지 하루도 지나지 않아 제가 감정적이었을 순 있겠지만 돈이 급한 상황도 아니고 방학 중에 용돈 벌이하려고 시작했던 건데 이건 저를 넘어서 저희 가족을 욕보이는 것 같아 견디기 어려웠습니다. 사장님의 다그침에 대답을 하지 않자 매우 불쾌한 표정으로 문자로 계좌 남기고 오늘은 들어가라고 하셨고 그 길로 바로 옷 벗고 나왔습니다.입금은 아직 안 된 상태입니다. 오늘은 들어가라고 하시는 걸로 봐서 알바 새로 구해 교육시키는 건 싫으신가 본데 그냥 관둘랍니다. 더럽고 치사해서 못 해먹겠네요. 만 원 좀 넘게 받아가면서 이런 취급이라니... 눈은 펑펑 내리고 컨디션은 최악이고 할아버지는 보고 싶고 복잡한 마음에 길에서 펑펑 울었네요. 출근 첫날부터 ‘얘야’로 호칭하고 반말은 기본에 손목, 팔, 어깨는 물론 허리나 엉덩이 터치도 서슴없이 하시기에 쎄했는데 (사장님과 저는 여자입니다.) 이렇게라도 관두게 되어 다행인 걸까요? 부모님이 속상해하실까 봐 어디다 말도 못 하겠고 여기에라도 적어봅니다. 일산동구 저가 커피 프랜차이즈 알바 구하실 때 조심하세요. 면접 때부터 반말, 터치 심하면 바로 관두시길. 저처럼 상처 받지 마시고 연휴 끝나서 알바 출근하신 분들 많을 텐데 파이팅입니다! 다정한 하루들 보내세요.",2025-02-01
다들 근무시간 몇시간이 적당한거 같아?,우리나라 근무시간 너무 긴거 같아 하루에 5시간 일하는게 적당한 느낌,2025-02-01
카페알바 주문 실수하면,1)버린다2)마신다3.가져간다뭐가 맞는거예요?,2025-02-01
면접 보는데 시간,얼마나 걸려?? 보통 10분도 안되는 거 같던데 3분컷도 가능한가,2025-02-01
식기세척 알바 저도 할 수 있을까요,"주2일, 주3일로 지원을 할 것인데요.에슐리 주말 마감 세척 알바가 보여서요.세척 알바는 사람을 상대하는 업무가 아니라 해보려 하는데 첫 알바로 괜찮을까요손이 일단 빨라야 할 거 같은데설거지 이런거 안해본 것도 아니고 고된 일도 해도 괜찮은데 워낙 행동이 느리다고 평들을 많이 들어서..지원하기도 전에 괜히 민폐를 줄까 겁부터 나요..해보신 분들 자세하게 어떤 업무를 하는 지 알려주실 수 있나요?",2025-02-01
홈플러스 알바,나 20대 초반에 홈플러스 알바 지원 했거든 사전에 전달 받은 내용이 첫날에 교육 강의 4시간 온라인으로 들어야 한다는거야 그래서 나는 홈플러스 큰곳이니까 홈플러스 내부에 온라인 교육 듣는 사무실 비슷한 공간같은데서 책상에 앉아서 컴퓨터로 온라인 교육 듣는건줄 알고 갔는데 한 3평? 정도 되는 작은방에 아저씨 직원들 쉬고 있는곳에서 내 핸드폰으로 데이터 켜서 들으라함 바로 안한다 하고 나옴 나는 물류센터 알바만 시설 열악한줄 알았는데 그게 아니였음..,2025-02-01
잠깐 돈 필요해서 알바 알아보는데 별로인곳 많은듯,잠깐 돈필요해서 단기알바 포장하는곳 한 두군데 정도 전화해서 궁금한점 물어봤는데 걸러야 할 삘이 딱왔음 우선 일하는 분들 연령대 물어봤는데 다 나이가 많으시고(텃세있을 확률이 높음) 위생모+상의 유니폼+실내화 착용 이것만 들어도 딱 느낌이 옴 몇년전에 그런곳들 가봤는데 휴게공간도 구치소 느낌 방안에 캐비닛있고 거기서 다같이 옷 갈아입고 방바닥에 다같이 붙어서 앉아서 쉬어야함(열악함) 이런부분들 때문에 젊은사람들 다 도망가고 아줌마들만 남음 다들 이런곳 어때?,2025-02-01
망향휴게소 일하려 그러는데 어떤가요??,이번에 급히 일 시작하고 갚고 벌어야 돼서 일자리 알아보던중 휴게소 알바가 떠서요. 기업정보에 아웃소싱이라 되어있긴 하지만 숙식도 되고 월급도 나쁘지 않은거 같아서 지원해보려고요. 휴게소는 처음인데 분위기라던가 급여는 제때 잘 주나요??,2025-02-01
광쿠4센터,시간대 19~ 04시일 어때요사람이랑 관리자 등등등,2025-02-01
"세금환급도움센터, DA컨설팅, 엑셀 단순작업 이 알바에 대해서 아시는 분",조금 의심스러워서요바로 서류 합격했다고 교육 받으러 오라는데혹시 아는 분 계신가요?,2025-02-01
ㅋㄹ 재지원 하려면,ㅋㄹ 주간조 신청했다가 10분 지나서 답한바람에 마감됐다고 문자왔는데 다음날 출근 희망하려면 다시 문자 보내야하나요?문자로 여쭤봤는데 다른 질문만 답해주시고 요건 말 안해주셔서요 ㅠㅠ,2025-02-01
L사 콜센터교육후기,"안녕하세요.L사 교육한달간 받았습니다.일찍나와서 교육 받았던 교재들보고,전산 연습도 해보고 열심히 다녔어요.그런데 막바지 파이널 시험에서 떨어졌어요.커트라인에 못미친다고 바로 집으로 조기퇴사를 당했네요.정직원이라고 들어갔는데 1차시험 2차시험 중도 탈락자들이 생기더라구요.그때도 ..열심히해야겠다 생각은 들었지만 막상 내가 떨어지니 허무그 잡체네요.ㅜㅜ다시 일자리를 구할생각에 막막하지만 또 도전해봐야죠.",2025-02-01
이력서 안 읽는 건 이유가 있나요?,읽고 연락 없으면 안 맞나 보다 하는데 읽지도 않는 건 뭘까요??,2025-02-01
오늘 처음 알바 면접 보러가는데,오늘 처음 알바 면접 보러가는데 면접에서 보통 뭘 물어보나요?? 따로 질문에 대한 대답 준비하가는게 좋을까요?ㅠㅠ,2025-02-01
오늘 알바 면접가는데 보건증도 들고 갈까요?,면접인데 보건증이랑 이력서 같이 들고가도괜찮은지 해서 물어봅니당,2025-02-01
알바 지원서 ㅠㅠ,"알바 단기로 한 거 한 개밖에만 없고 내가 성실하고, 노력을 할 수 있다는 걸 입증할 수 있는 자료가 거의 없어서 그런지 지원해도 연락이 안 오던데… 알바 온라인 이력서에 과수석이다, 차석이다 이런거라도 첨부하는게 좋은가… 아님 좀 에반가…?",2025-02-01
마감기한 보다 일찍 마감된건,상시모집 아니고 마감기한보다 하루 일찍 모집마감 되었어요 마감일이 설 연휴가 중간에 껴있긴 했지만 이런경우 채용 완료해서 공고 올리신 분이 내린거겠죠..? 면접보고 왔었는데 아직 기다려봐도 되겠죠 ㅠㅠㅠ,2025-02-01
첫 카페알바로 메가,주방 보조나 식당 홀서빙 장기알바 경력은 있는데 카페 알바는 한번도 안해봤습니더..근데 첫 카페알바가 주말 미들 메가커피;;메가커피 엄청 빡세다고 소문이 자자하던데ㅠㅠ넘 걱정되네용..메가 알바생분들 알바 후기나 조언 부탁드립니다!!,2025-02-01
식당 주방 일이 서빙보다 힘든가요?,주방이랑 서빙이랑 시급은 비슷하네요전 서빙은 해봤는데 와 진짜 힘들었어요이자카야였는데... 와우.. 정말 힘들었습니다..,2025-02-01
알바 면접 패딩,패딩입고 갈건데 면접 볼때 입고 있는거 보다 벗는게 낫지..??,2025-02-01
스타벅스 홈페이지 지원,홈페이지 지원만 넣어놓으면 알아서 연락이 오는 거 맞나여? 넣어놔도 급구라고 엄청 뜨는데 연락이 안 옴 ㅠ 서류탈락인건가?? 알바몬 처럼 이력서 열람 한건지도 모르겟구..모지,2025-02-01
